Designator,Mid X,Mid Y,Layer,Rotation
C8,299.22mm,-98.09mm,Bottom,90
C9,293.62mm,-101.77mm,Bottom,-90
C10,280.6635mm,-98.6945mm,Bottom,180
C11,271.1735mm,-98.6945mm,Bottom,180
C12,280.08mm,-90.27mm,Bottom,180
C13,280.67mm,-91.3mm,Bottom,180
C14,269.43mm,-94.03mm,Bottom,0
C15,269.08mm,-92.97mm,Bottom,0
C16,271.74mm,-100.25mm,Bottom,180
C17,280.0635mm,-99.7145mm,Bottom,180
F1,296.24mm,-98.56mm,Bottom,0
J3,306.35mm,-98.52mm,Bottom,-90
R8,301.9mm,-102.91mm,Bottom,90
U1,275.92mm,-94.9975mm,Bottom,90
U2,276.71mm,-106.605mm,Bottom,90
U3,296.31mm,-102.24mm,Bottom,0
U4,296.1275mm,-95.32mm,Bottom,90
C18,174.64mm,-212.88mm,Top,90
D1,20.13mm,-212.12mm,Top,90
D2,47.05mm,-83.92mm,Top,90
D3,39.09mm,-138.57mm,Top,90
D4,47.6225mm,-157.6325mm,Top,90
D5,47.6225mm,-176.6825mm,Top,90
D6,20.3mm,-193.04mm,Top,90
D7,57.1475mm,-138.5825mm,Top,90
D8,66.6725mm,-157.6325mm,Top,90
D9,71.435mm,-176.6825mm,Top,90
D10,61.91mm,-195.7325mm,Top,90
D11,92.15mm,-214.1mm,Top,90
D12,76.1975mm,-81.4325mm,Top,90
D13,76.1975mm,-100.60125mm,Top,90
D14,76.1975mm,-138.5825mm,Top,90
D15,85.7225mm,-157.6325mm,Top,90
D16,90.485mm,-176.6825mm,Top,90
D17,80.96mm,-195.7325mm,Top,90
D18,95.2475mm,-81.4325mm,Top,90
D19,95.2475mm,-100.60125mm,Top,90
D20,95.2475mm,-138.5825mm,Top,90
D21,104.7725mm,-157.6325mm,Top,90
D22,109.535mm,-176.6825mm,Top,90
D23,100.01mm,-195.7325mm,Top,90
D24,95.29mm,-214.11mm,Top,90
D25,114.2975mm,-81.31375mm,Top,90
D26,114.2975mm,-100.60125mm,Top,90
D27,114.2975mm,-138.5825mm,Top,90
D28,123.8225mm,-157.6325mm,Top,90
D29,128.585mm,-176.6825mm,Top,90
D30,119.06mm,-195.7325mm,Top,90
D31,133.3475mm,-81.31375mm,Top,90
D32,133.3475mm,-100.60125mm,Top,90
D33,133.3475mm,-138.5825mm,Top,90
D34,142.8725mm,-157.6325mm,Top,90
D35,147.635mm,-176.6825mm,Top,90
D36,138.11mm,-195.7325mm,Top,90
D37,152.3975mm,-81.31375mm,Top,90
D38,152.3975mm,-138.5825mm,Top,90
D39,161.9225mm,-157.6325mm,Top,90
D40,166.685mm,-176.6825mm,Top,90
D41,157.16mm,-195.7325mm,Top,90
D42,161.925mm,-212.79375mm,Top,90
D43,152.3975mm,-100.60125mm,Top,90
D44,171.4475mm,-81.31375mm,Top,90
